NEWSESSION:Tue May 06 20:42:33 2014
D,1,2724
D,1,4180
D,1,2607
D,1,1489
D,1,1066
D,0,2642
D,1,818
T,PTYEWLK,UYKBEGI
D,0,3143
D,0,5285
D,0,3743
D,0,1789
T,SYRJ,WJST
D,0,6694
D,0,2438
D,0,2274
D,0,1914
D,0,1349
D,0,2027
T,DGKZUV,YOKMXA
D,0,4712
D,0,2185
D,0,1353
D,0,1581
D,0,1645
T,TUICV,BTUXC
D,0,11450
D,0,1606
D,0,2017
T,GMN,VGN
D,1,1966
D,0,2113
D,0,1836
D,0,2427
D,0,2341
D,0,2137
T,BRNCQI,HQBPTL
D,0,16064
D,0,1464
D,0,1790
D,0,1992
T,UAJM,OMFN
D,0,3453
D,0,1400
D,0,1632
T,QAG,JLO
D,0,15659
D,0,7793
D,0,7032
D,0,2004
D,0,2009
D,0,3547
D,0,2018
T,WZIRLSX,LRGEWKT
D,0,5155
D,0,1819
D,0,1731
D,1,2426
D,0,2418
T,EVDHJ,ROIDC
D,0,3261
D,1,4087
D,0,2342
D,0,1799
D,0,2500
D,0,2331
D,0,2080
T,BHTFELC,LTHXEKB
D,0,1329
D,0,1875
D,0,2538
D,0,1163
D,0,1654
T,TCVRX,PRTYG
D,1,7939
D,0,1403
D,0,1445
T,SAP,DKF
D,0,4434
D,0,2266
D,0,2207
D,0,2044
D,0,2113
D,0,2124
T,JNZDTH,MFHYBT
D,0,4102
D,0,2165
D,0,3267
D,0,1537
T,OKFN,CLOA
